Dep.,code,ColorT1,Color_hachT1,Abs_Commune
24,24502,rouge,hach_orange,39.1
24,24509,rouge,hach_orange,48.1
24,24543,rouge,hach_orange,46.6
24,24557,orange,hach_rouge,45
24,24562,rouge,hach_orange,40
24,24005,orange,hach_bleuemarine,46.9
24,24022,bleuemarine,hach_orange,39.8
24,24023,bleuemarine,hach_orange,43.5
24,24024,orange,hach_bleuemarine,24.1
24,24027,bleuemarine,hach_orange,51.5
24,24028,orange,hach_bleuemarine,49.9
24,24031,orange,hach_bleuemarine,41
24,24034,orange,hach_bleuemarine,42.9
24,24037,orange,hach_bleuemarine,56.2
24,24043,orange,hach_bleuemarine,47.6
24,24045,orange,hach_bleuemarine,46.6
24,24048,bleuemarine,hach_orange,51.5
24,24051,orange,hach_bleuemarine,45.6
24,24052,bleuemarine,hach_orange,55.3
24,24054,bleuemarine,hach_orange,47.2
24,24060,orange,hach_bleuemarine,28.4
24,24073,orange,hach_bleuemarine,41.7
24,24077,bleuemarine,hach_orange,43.5
24,24080,orange,hach_bleuemarine,43.8
24,24083,orange,hach_bleuemarine,47.3
24,24088,bleuemarine,hach_orange,45.3
24,24123,bleuemarine,hach_orange,35.4
24,24126,bleuemarine,hach_orange,39.3
24,24132,orange,hach_bleuemarine,45.7
24,24140,bleuemarine,hach_orange,47.2
24,24143,bleuemarine,hach_orange,48.3
24,24145,bleuemarine,hach_orange,48.6
24,24148,bleuemarine,hach_orange,39.5
24,24155,bleuemarine,hach_orange,42.2
24,24161,bleuemarine,hach_orange,39.8
24,24167,orange,hach_bleuemarine,48.1
24,24259,bleuemarine,hach_orange,47
24,24176,bleuemarine,hach_orange,42.9
24,24177,bleuemarine,hach_orange,47.6
24,24186,bleuemarine,hach_orange,40.8
24,24189,bleuemarine,hach_orange,47.3
24,24191,bleuemarine,hach_orange,42.9
24,24193,orange,hach_bleuemarine,41.9
24,24194,bleuemarine,hach_orange,48.9
24,24195,bleuemarine,hach_orange,40.2
24,24197,orange,hach_bleuemarine,42.5
24,24211,orange,hach_bleuemarine,47.4
24,24212,bleuemarine,hach_orange,46.8
24,24222,bleuemarine,hach_orange,51.5
24,24223,orange,hach_bleuemarine,49
24,24224,orange,hach_bleuemarine,44.1
24,24225,bleuemarine,hach_orange,54.8
24,24226,bleuemarine,hach_orange,50.4
24,24228,bleuemarine,hach_orange,50.5
24,24231,bleuemarine,hach_orange,42.1
24,24068,orange,hach_bleuemarine,47.1
24,24182,bleuemarine,hach_orange,55.5
24,24237,orange,hach_bleuemarine,47.2
24,24234,orange,hach_bleuemarine,49.4
24,24242,bleuemarine,hach_orange,41
24,24244,bleuemarine,hach_orange,44.1
24,24246,bleuemarine,hach_orange,49.6
24,24257,bleuemarine,hach_orange,46
24,24260,orange,hach_bleuemarine,37.3
24,24267,orange,hach_bleuemarine,45.9
24,24272,bleuemarine,hach_orange,51.5
24,24273,bleuemarine,hach_orange,43.8
24,24274,orange,hach_bleuemarine,47.1
24,24276,orange,hach_bleuemarine,45
24,24277,bleuemarine,hach_orange,42.5
24,24278,orange,hach_bleuemarine,54.5
24,24279,bleuemarine,hach_orange,57.1
24,24280,orange,hach_bleuemarine,51.3
24,24281,orange,hach_bleuemarine,40.5
24,24282,bleuemarine,hach_orange,35.7
24,24285,bleuemarine,hach_orange,32.3
24,24287,orange,hach_bleuemarine,37
24,24288,bleuemarine,hach_orange,42.7
24,24289,bleuemarine,hach_orange,51.2
24,24290,orange,hach_bleuemarine,44.7
24,24292,bleuemarine,hach_orange,52
24,24296,bleuemarine,hach_orange,51.1
24,24297,bleuemarine,hach_orange,52.4
24,24306,orange,hach_bleuemarine,41.1
24,24307,bleuemarine,hach_orange,34.9
24,24168,bleuemarine,hach_orange,48.4
24,24331,orange,hach_bleuemarine,46.8
24,24334,orange,hach_bleuemarine,34.2
24,24335,bleuemarine,hach_orange,45.6
24,24338,bleuemarine,hach_orange,37.7
24,24340,orange,hach_bleuemarine,49.4
24,24345,orange,hach_bleuemarine,43.5
24,24347,orange,hach_bleuemarine,51.2
24,24348,orange,hach_bleuemarine,45.2
24,24349,orange,hach_bleuemarine,44.8
24,24351,orange,hach_bleuemarine,49.6
24,24357,bleuemarine,hach_orange,53.3
24,24359,orange,hach_bleuemarine,30.7
24,24361,orange,hach_bleuemarine,43.4
24,24370,bleuemarine,hach_orange,52.6
24,24373,bleuemarine,hach_orange,40.1
24,24374,bleuemarine,hach_orange,40.5
24,24378,bleuemarine,hach_orange,38.6
24,24379,bleuemarine,hach_orange,47.4
24,24383,bleuemarine,hach_orange,41.7
24,24382,bleuemarine,hach_orange,48.4
24,24384,bleuemarine,hach_orange,27.3
24,24385,bleuemarine,hach_orange,41.1
24,24405,orange,hach_bleuemarine,37.8
24,24413,bleuemarine,hach_orange,44.7
24,24414,orange,hach_bleuemarine,44.5
24,24415,bleuemarine,hach_orange,34.1
24,24419,bleuemarine,hach_orange,51.4
24,24420,bleuemarine,hach_orange,51.9
24,24422,orange,hach_bleuemarine,39.2
24,24426,orange,hach_bleuemarine,31.6
24,24423,bleuemarine,hach_orange,41.1
24,24437,orange,hach_bleuemarine,42.8
24,24441,orange,hach_bleuemarine,33.9
24,24445,bleuemarine,hach_orange,38.6
24,24446,orange,hach_bleuemarine,39.1
24,24454,bleuemarine,hach_orange,48.7
24,24456,bleuemarine,hach_orange,47
24,24461,bleuemarine,hach_orange,44.9
24,24466,orange,hach_bleuemarine,50.8
24,24472,bleuemarine,hach_orange,49.4
24,24483,bleuemarine,hach_orange,40
24,24487,bleuemarine,hach_orange,47.1
24,24494,orange,hach_bleuemarine,38.9
24,24495,orange,hach_bleuemarine,41.5
24,24499,orange,hach_bleuemarine,42.9
24,24501,bleuemarine,hach_orange,48.5
24,24514,bleuemarine,hach_orange,47.7
24,24393,bleuemarine,hach_orange,39.2
24,24492,bleuemarine,hach_orange,58.8
24,24523,orange,hach_bleuemarine,38.9
24,24532,bleuemarine,hach_orange,43.2
24,24534,bleuemarine,hach_orange,53.7
24,24536,orange,hach_bleuemarine,41.2
24,24542,orange,hach_bleuemarine,57.6
24,24549,orange,hach_bleuemarine,43.9
24,24560,orange,hach_bleuemarine,27.1
24,24566,bleuemarine,hach_orange,45.6
24,24568,bleuemarine,hach_orange,50.6
24,24570,orange,hach_bleuemarine,26.2
